welc_resp.keys,welc_resp.rt,intr0_resp.keys,intr0_resp.rt,prep_resp.keys,prep_resp.corr,prep_resp.rt,preparation.thisRepN,preparation.thisTrialN,preparation.thisN,preparation.thisIndex,preparation.ran,preparation.order,letter10,letter20,corrAns0,participant,,date,expName,psychopyVersion,frameRate,outro_resp.keys,outro_resp.rt,instr1_resp.keys,instr1_resp.rt,resp.keys,resp.corr,letterMaster.thisRepN,letterMaster.thisTrialN,letterMaster.thisN,letterMaster.thisIndex,letterMaster.ran,letterMaster.order,letterset,letterset2,letterset3,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,practice.order,letter1,letter2,corrAns,letterA,letterC,letterE,instr2_resp.keys,instr2_resp.rt,instr3_resp.keys,instr3_resp.rt,test_resp.keys,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,test.order,letter3,letter4,letterA2,letterB2,pickA,avoidB,check_resp.keys,check_resp.rt,learnt_resp.keys,learnt_resp.rt,checks.thisRepN,checks.thisTrialN,checks.thisN,checks.thisIndex,checks.ran,checks.order,question,learnt_letters,numbers,outro_resp2.keys,outro_resp2.rt
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,17,1,179,d,O,c,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,6,1,179,a,A,m,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,10,1,179,O,d,c,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,15,1,179,d,O,m,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,2,1,179,A,a,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,12,1,179,O,d,c,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,11,1,179,O,d,c,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,27,1,179,I,L,m,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,26,1,179,I,L,m,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,22,1,179,I,L,c,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,1,1,179,A,a,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,8,1,179,A,a,m,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,0,1,179,A,a,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,16,1,179,d,O,m,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,19,1,179,O,d,m,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,24,1,179,L,I,m,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,14,1,179,d,O,m,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,12,1,179,O,d,c,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,5,1,179,a,A,m,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,25,1,179,L,I,m,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,29,1,179,L,I,c,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,9,1,179,a,A,c,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,17,1,179,d,O,c,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,20,1,179,I,L,c,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,21,1,179,I,L,c,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,26,1,179,I,L,m,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,15,1,179,d,O,m,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,28,1,179,L,I,c,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,3,1,179,A,a,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,2,1,179,A,a,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,11,1,179,O,d,c,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,0,1,179,A,a,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,10,1,179,O,d,c,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,4,1,179,a,A,m,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,14,1,179,d,O,m,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,23,1,179,L,I,m,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,13,1,179,O,d,c,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,16,1,179,d,O,m,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,19,1,179,O,d,m,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,27,1,179,I,L,m,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,24,1,179,L,I,m,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,8,1,179,A,a,m,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,7,1,179,a,A,m,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,1,1,179,A,a,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,18,1,179,d,O,c,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,22,1,179,I,L,c,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,6,1,179,a,A,m,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,9,1,179,a,A,c,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,29,1,179,L,I,c,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,2,1,179,A,a,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,8,1,179,A,a,m,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,12,1,179,O,d,c,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,23,1,179,L,I,m,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,6,1,179,a,A,m,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,24,1,179,L,I,m,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,20,1,179,I,L,c,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,4,1,179,a,A,m,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,19,1,179,O,d,m,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,5,1,179,a,A,m,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,26,1,179,I,L,m,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,16,1,179,d,O,m,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,10,1,179,O,d,c,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,7,1,179,a,A,m,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,15,1,179,d,O,m,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,1,1,179,A,a,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,18,1,179,d,O,c,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,22,1,179,I,L,c,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,13,1,179,O,d,c,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,11,1,179,O,d,c,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,14,1,179,d,O,m,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,27,1,179,I,L,m,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,25,1,179,L,I,m,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,21,1,179,I,L,c,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,0,1,179,A,a,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,17,1,179,d,O,c,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,28,1,179,L,I,c,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,3,1,179,A,a,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,29,1,179,L,I,c,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,9,1,179,a,A,c,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,15,1,179,d,O,m,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,5,1,179,a,A,m,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,27,1,179,I,L,m,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,8,1,179,A,a,m,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,14,1,179,d,O,m,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h32.59.952,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,26,1,179,I,L,m,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
